bp,rank,score,ts,uptime_score
B62qriV8kQ9FzSRuFPXAjtZx8JcBhY5gmYkFd8VUxPVVSBpSb92V7T9,82,8626,2021-05-22 11:26:39.362277,96.33 %
B62qkbNu6GyDJ7uxXkfYQiVZHfomjtqN71sRcmt16Dg5VdjWBcuvJRK,83,8617,2021-05-22 11:26:39.362277,96.23 %
B62qjw2PdqLJYNTr6cNDXEmnc9FLNoaqVMHMqiTX7sqLYJRpd3mshFA,84,8603,2021-05-22 11:26:39.362277,96.07 %
B62qkqN9V4TQZWBCzPW7QiYh87CTUJBtVxUHze2cWxAUviZtwkWvZg6,85,8599,2021-05-22 11:26:39.362277,96.02 %
B62qnR6HKx34NCyDkSeRcJ44KATjUCs4xmQYDbwTXPJPQ4J6ebfeQe4,86,8587,2021-05-22 11:26:39.362277,95.89 %
B62qn9vwCUbefEmPsj6g29df18TmAQ2bSthrRFGvWG1jKDEbi2wJT15,87,8584,2021-05-22 11:26:39.362277,95.86 %
B62qrwBEB3tjGvjZNNr4h8N2iHGvcgRa6bb3V7Qs7Z15EZVWnyJBpXR,88,8583,2021-05-22 11:26:39.362277,95.85 %
B62qob1tGxx1BhychEzzah7yvdbRH3E7SNSTrEtkuSZzR2UBezMChg2,89,8581,2021-05-22 11:26:39.362277,95.82 %
B62qnYBehkVZzgJBCC5yhFyF2L7mMRPsVnKW2xpcWFVuQYRVgoqwDCS,90,8578,2021-05-22 11:26:39.362277,95.79 %
B62qix9vooX5NqJYo8nT6xWqCeQu5AJoS1ng6FRnUpVAra6PAZZ1CU4,91,8571,2021-05-22 11:26:39.362277,95.71 %
B62qmHktvgpH1Kbkato9MCWmH4TPKtHWc8DC4FhQCJ5TpuZ8CXazczB,92,8569,2021-05-22 11:26:39.362277,95.69 %
B62qjmUyv9D4GQ35RFSDrXjMqgFYW4VtDkuv1q8TnxosPqxSJcbdvzG,93,8562,2021-05-22 11:26:39.362277,95.61 %
B62qn7dN3hhEyqEYLG9Le1KwJpJfcJQXfiBoKiB7sZVrwYvT1NyRfDr,94,8555,2021-05-22 11:26:39.362277,95.53 %
B62qiWcbScnq9W9bhk4oLi53fyH5TL8WxzDG5cqMhbz4SUhz66v7izL,95,8551,2021-05-22 11:26:39.362277,95.49 %
B62qkoSio33qzxjsAuY4KVYmjw784KuyDSxbRL4d8UJaLXmdgVqb4N4,96,8547,2021-05-22 11:26:39.362277,95.44 %
B62qrQBarKiVK11xP943pMQxnmNrfYpT7hskHLWdFXbx2K1E9wR1Vdy,97,8546,2021-05-22 11:26:39.362277,95.43 %
B62qjBsp2zWgyrbaSqVMcduz7A5s1sT63epFUVGFRjCfjCzy3zwSVaq,98,8541,2021-05-22 11:26:39.362277,95.38 %
B62qrr1gkgYvVfRb9JjstCcjDTKYYXFM61dD7oqFaEjc5VkFvL8zWgr,99,8540,2021-05-22 11:26:39.362277,95.37 %
B62qrUXUnrc1tR1XN44eVaYVyw64MYD7p841LHsxzuMy6yERkbkzS87,100,8538,2021-05-22 11:26:39.362277,95.34 %
B62qqKCmTdo7JJS6hP2YsiMoXvkpo7rcK6EsxBns3etbQytnoY8b49C,101,8535,2021-05-22 11:26:39.362277,95.31 %
B62qnwfauXg2i7e1CYGdJjztyfdJ8CiESr37hzm5X5HJnYwp22rBpSD,102,8530,2021-05-22 11:26:39.362277,95.25 %
B62qqc3eKfNYpdRByoN4V3BTjoPRgacLrqtx4WkBQgnVcQ1MHSWTyWL,103,8528,2021-05-22 11:26:39.362277,95.23 %
B62qpdKVxef96UTWaEPEbGQ7FruwCSbEckDHDGtpAQqxUfDmHR725AV,104,8527,2021-05-22 11:26:39.362277,95.22 %
B62qkLn4YDsHjoiRus1G2HmUKUutGbQGTVEtRT6NKaB1RRMYCN2d6JM,105,8525,2021-05-22 11:26:39.362277,95.20 %
B62qpZTtpZL7QobzPX97h1f2CNFchXoXc4NJUZL1xdvNqTdwR5NCbkZ,106,8523,2021-05-22 11:26:39.362277,95.18 %
B62qr9jmNyuKG9Zhi1jENgPuswFRRDrkin3tP6D76qx8HNpjke5aUMs,107,8516,2021-05-22 11:26:39.362277,95.10 %
B62qpLST3UC1rpVT6SHfB7wqW2iQgiopFAGfrcovPgLjgfpDUN2LLeg,108,8504,2021-05-22 11:26:39.362277,94.96 %
